text,polarity,subjectivity,created_at
RT @TheDublinGuy: Say No To Abortion On Demand In Ireland !! DON'T #RepealThe8th #SaveThe8th !! #LiamNeeson #Bono #U2 #Prolife #LoveBothVot…,0.0,0.0,Mon May 07 19:30:10 +0000 2018)
RT @EamonReilly_com: After we #SaveThe8th  then we help #MakeTheUKprolifeAgain https://t.co/A87o7LKho5 #LoveBoth #Prolife #AbolishAbortionG…,0.0,0.0,Mon May 07 19:30:14 +0000 2018)
RT @Savethe8thInfo: Mary Escato  nurse  supporting the statement of over 130 Nurses and Midwives and why they are Voting No on the 25th May…,0.25,0.25,Mon May 07 19:30:19 +0000 2018)
RT @Savethe8thInfo: Ellen  nurse  supporting the statement of over 130 Nurses and Midwives and why they are Voting No on the 25th May. More…,0.25,0.25,Mon May 07 19:30:21 +0000 2018)
RT @EamonReilly_com: Make America Prolife Again https://t.co/WcPmpN8Hv2 #MakeAmericaProlifeAgain #outsiderart #folkart #popart #naiveart #a…,0.0,0.0,Mon May 07 19:30:21 +0000 2018)
RT @Savethe8thInfo: The #LifeCanvass hits 3 000 volunteers  has knocked on 700 000 doors since January  and smashes targets ahead of the re…,0.0,0.0,Mon May 07 19:30:23 +0000 2018)
RT @EamonReilly_com: Do you know that #abortion is the biggest form of #femicide in the world today? Baby girls killed for being girls. htt…,-0.2,0.0,Mon May 07 19:30:28 +0000 2018)
RT @EamonReilly_com: First let's #SaveThe8th then let's help #MakeAmericaProlifeAgain https://t.co/WcPmpN8Hv2 #loveboth #AbolishAbortionGlo…,0.25,0.333333333333,Mon May 07 19:30:33 +0000 2018)
How about some American nurses speaking out against abortion...no. really! Speak out for those who can't. https://t.co/AmId8g3LWH,0.125,0.1,Mon May 07 19:30:35 +0000 2018)
RT @Savethe8thInfo: Marie Donnelly supporting the statement of over 130 Nurses and Midwives and why they are Voting No on the 25th May. Mor…,0.25,0.25,Mon May 07 19:30:46 +0000 2018)
RT @POLITICSandFUN: In The Pro-Choice World 
Women Can Exterminate Other Women And Call It Defending  Women’s Reproductive Rights...
🤔🤔🤔🤔🤔…,-0.125,0.375,Mon May 07 19:30:54 +0000 2018)
RT @dutchingmarkets: So my 10 year old daughter asked me several times what the “yes “ posters on the lampposts were for . Reluctantly I ex…,0.05,0.1,Mon May 07 19:31:02 +0000 2018)
RT @EamonReilly_com: First let's #SaveThe8th then let's help #MakeAmericaProlifeAgain https://t.co/WcPmpN8Hv2 #loveboth #AbolishAbortionGlo…,0.25,0.333333333333,Mon May 07 19:31:11 +0000 2018)
RT @patrick_d_henry: A @AllEqually poster in Strandhill  Co Sligo this morning. #IrishRepublican #SaveThe8th #ProLife #VoteNO https://t.co/…,0.0,0.0,Mon May 07 19:31:18 +0000 2018)
RT @LassieCee: Why aren't women demanding better for women? Why aren't feminists demanding better for women? Why are (some) women happy wit…,0.6,0.666666666667,Mon May 07 19:31:18 +0000 2018)
RT @EamonReilly_com: Let's #SaveThe8th and also lets #MakeTheUKprolifeAGAIN https://t.co/A87o7LKho5 #MakeAmericaProlifeAgain #MakeCanadaPro…,0.0,0.0,Mon May 07 19:31:23 +0000 2018)
RT @EamonReilly_com: After we #SaveThe8th  then we help #MakeTheUKprolifeAgain https://t.co/A87o7LKho5 #LoveBoth #Prolife #AbolishAbortionG…,0.0,0.0,Mon May 07 19:31:58 +0000 2018)
RT @EamonReilly_com: #AllIWantForChristmas is to help #MakeTheUKprolifeAgain and #AbolishAbortionGlobally https://t.co/A87o7LKho5 #SaveThe8…,0.0,0.0,Mon May 07 19:32:08 +0000 2018)
RT @EamonReilly_com: Make The UK Prolife Again https://t.co/A87o7LKho5 The Stuff the #BigPharma-indebted #MSM won't tell you #MakeTheUKprol…,0.0,0.0,Mon May 07 19:32:13 +0000 2018)
RT @EamonReilly_com: First let's #SaveThe8th then let's help #MakeTheUKprolifeAGAIN https://t.co/A87o7LKho5 #LoveBoth #AbolishAbortionGloba…,0.25,0.333333333333,Mon May 07 19:32:19 +0000 2018)
RT @Savethe8thInfo: Peadar Tóibín  TD  Meath West  explaining how future generations will be saved by the 8th amendment. Speaking at the GP…,0.0,0.125,Mon May 07 19:32:23 +0000 2018)
RT @POLITICSandFUN: DO YOU SEE THE CONFLICT &amp; TOTAL HYPOCRISY??  I SURE DO.

Women Marching To Support Women Who Demand The Freedom To Kill…,0.25,0.819444444444,Mon May 07 19:32:29 +0000 2018)
RT @dutchingmarkets: So my 10 year old daughter asked me several times what the “yes “ posters on the lampposts were for . Reluctantly I ex…,0.05,0.1,Mon May 07 19:32:42 +0000 2018)
RT @LdnIrishU4L: Sligo family at Sligo v London championship match support cherishing the 8th. 
#sligogaa #8thref #savethe8th https://t.co/…,0.0,0.0,Mon May 07 19:32:59 +0000 2018)
Brilliant! What a great advocate Obianuju is for life.. https://t.co/Bm5dI5NvcL,0.9,0.875,Mon May 07 19:33:02 +0000 2018)
RT @DonalRyan15: This Vote will be won and lost with conflicted voters! The cost of one "hard case" abortion is 99 healthy babies killed on…,0.00277777777778,0.347222222222,Mon May 07 19:33:07 +0000 2018)
RT @ProfRayKinsella: That about says it all " Real Compassion doesn't Kill".

'Yes' posters wheeling out 'Nudge' cliches---'Care'...'Compas…,0.2,0.3,Mon May 07 19:33:23 +0000 2018)
RT @obianuju: This is an excellent video parody on some Irish celebrities like Bono and Liam Neeson who have shown their support for the ki…,0.5,0.5,Mon May 07 19:33:25 +0000 2018)
RT @EamonReilly_com: #AllIWantForChristmas is to help #MakeCanadaProlifeAgain and #AbolishAbortionGlobally https://t.co/uAQN8bNwfw #SaveThe…,0.0,0.0,Mon May 07 19:33:30 +0000 2018)
RT @EamonReilly_com: Make Canada Prolife Again https://t.co/uAQN8bNwfw All the stuff the #BigPharma-indebted #MSM won't tell you #SaveThe8t…,0.0,0.0,Mon May 07 19:33:35 +0000 2018)
RT @EamonReilly_com: Make Canada Prolife Again https://t.co/uAQN8bNwfw #makecanadaprolifeagain #outsiderart #folkart #popart #naiveart #Can…,0.0,0.0,Mon May 07 19:33:40 +0000 2018)
RT @EamonReilly_com: First let's #SaveThe8th and then let's #MakeCanadaProlifeAgain https://t.co/uAQN8bNwfw #loveboth #AbolishAbortionGloba…,0.25,0.333333333333,Mon May 07 19:33:49 +0000 2018)
More likely they only want to read media reviews &amp; pay cheques! Uncaring pretenders! #savethe8th  don't… https://t.co/Inrv28XWUZ,0.166666666667,0.833333333333,Mon May 07 19:33:52 +0000 2018)
RT @EamonReilly_com: Make Canada Prolife Again https://t.co/uAQN8bNwfw #folkart #MakeCanadaProlifeAgain #LoveBoth #SaveThe8th #PopArt #Naiv…,0.0,0.0,Mon May 07 19:33:59 +0000 2018)
RT @ShoreRoad94: Well said Mo Chara! #Savethe8th https://t.co/HPCaxHdIDW,0.0,0.0,Mon May 07 19:34:00 +0000 2018)
RT @JamesD505: Once the Irish public become fully aware of Trolley boy Harris' extreme and barbaric proposals   they will reject them and t…,0.03125,0.329166666667,Mon May 07 19:34:38 +0000 2018)
Such a subtle yet powerful difference in syntax. “Alive. But not yet born...” https://t.co/qZsZVA7sC4,0.0166666666667,0.6,Mon May 07 19:34:42 +0000 2018)
RT @POLITICSandFUN: DO YOU SEE THE CONFLICT &amp; TOTAL HYPOCRISY??  I SURE DO.

Women Marching To Support Women Who Demand The Freedom To Kill…,0.25,0.819444444444,Mon May 07 19:34:45 +0000 2018)
RT @MandyGall7: Bishop says ‘culture of abortion’ would be ‘horrendous’ https://t.co/0ms9GfoJSO

Hear  Hear.

